hardware,workload,matrix_size,dtype,runtime_ms,tflops,arithmetic_intensity,flops,bytes_accessed
GPU (T4),MatMul 32x32x32,32,fp32,0.020968,0.0031,5.33,65536,12288
GPU (T4),MatMul 32x32x32,32,fp16,0.018028,0.0036,10.67,65536,6144
GPU (T4),MatMul 32x32x32,32,bf16,0.015592,0.0042,10.67,65536,6144
GPU (T4),MatMul 32x32x32,32,int8,0.026895,0.0024,21.33,65536,3072
GPU (T4),MatMul 64x64x64,64,fp32,0.026425,0.0198,10.67,524288,49152
GPU (T4),MatMul 64x64x64,64,fp16,0.016704,0.0314,21.33,524288,24576
GPU (T4),MatMul 64x64x64,64,bf16,0.024024,0.0218,21.33,524288,24576
GPU (T4),MatMul 64x64x64,64,int8,0.017367,0.0302,42.67,524288,12288
GPU (T4),MatMul 128x128x128,128,fp32,0.015196,0.276,21.33,4194304,196608
GPU (T4),MatMul 128x128x128,128,fp16,0.018622,0.2252,42.67,4194304,98304
GPU (T4),MatMul 128x128x128,128,bf16,0.038788,0.1081,42.67,4194304,98304
GPU (T4),MatMul 128x128x128,128,int8,0.024031,0.1745,85.33,4194304,49152
GPU (T4),MatMul 256x256x256,256,fp32,0.042008,0.7988,42.67,33554432,786432
GPU (T4),MatMul 256x256x256,256,fp16,0.019537,1.7175,85.33,33554432,393216
GPU (T4),MatMul 256x256x256,256,bf16,0.067956,0.4938,85.33,33554432,393216
GPU (T4),MatMul 256x256x256,256,int8,0.036105,0.9294,170.67,33554432,196608
GPU (T4),MatMul 512x512x512,512,fp32,0.112116,2.3943,85.33,268435456,3145728
GPU (T4),MatMul 512x512x512,512,fp16,0.030596,8.7736,170.67,268435456,1572864
GPU (T4),MatMul 512x512x512,512,bf16,0.187495,1.4317,170.67,268435456,1572864
GPU (T4),MatMul 512x512x512,512,int8,0.060457,4.4401,341.33,268435456,786432
GPU (T4),MatMul 1024x1024x1024,1024,fp32,0.601832,3.5682,170.67,2147483648,12582912
GPU (T4),MatMul 1024x1024x1024,1024,fp16,0.105206,20.4122,341.33,2147483648,6291456
GPU (T4),MatMul 1024x1024x1024,1024,bf16,1.065779,2.0149,341.33,2147483648,6291456
GPU (T4),MatMul 1024x1024x1024,1024,int8,0.119266,18.0059,682.67,2147483648,3145728
GPU (T4),MatMul 2048x2048x2048,2048,fp32,4.080828,4.2099,341.33,17179869184,50331648
GPU (T4),MatMul 2048x2048x2048,2048,fp16,0.724071,23.7268,682.67,17179869184,25165824
GPU (T4),MatMul 2048x2048x2048,2048,bf16,6.565882,2.6165,682.67,17179869184,25165824
GPU (T4),MatMul 2048x2048x2048,2048,int8,0.959535,17.9044,1365.33,17179869184,12582912
GPU (T4),MatMul 4096x4096x4096,4096,fp32,32.15447,4.2743,682.67,137438953472,201326592
GPU (T4),MatMul 4096x4096x4096,4096,fp16,5.80524,23.675,1365.33,137438953472,100663296
GPU (T4),MatMul 4096x4096x4096,4096,bf16,58.074419,2.3666,1365.33,137438953472,100663296
GPU (T4),MatMul 4096x4096x4096,4096,int8,7.934712,17.3212,2730.67,137438953472,50331648
